"","Yr","DOY","Psy_num","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","ind","tag","treatment","doy.yr","DOY.yr"
"105",2018,196,"PSY8",-2.2846753356834,0.0663795004669995,7,19.6585714285714,0.0146385010942291,8,10954,"control","196-18",2018-07-15
"106",2018,196,"PSY9",-0.638040776948273,0.103126153977848,7,19.6585714285714,0.0146385010942291,9,600,"mwd","196-18",2018-07-15
"107",2018,197,"PSY2",-2.17857280393978,0.0390362688198739,7,18.99,0.0824621125123521,2,592,"mwd","197-18",2018-07-16
"108",2018,197,"PSY4",-0.321923558910089,0.0227813141840056,7,18.99,0.0824621125123521,4,498,"control","197-18",2018-07-16
"109",2018,197,"PSY6",-1.02687097773885,0.0286161380276583,7,18.99,0.0824621125123521,6,588,"swd","197-18",2018-07-16
"110",2018,197,"PSY7",-6.71553288981919,NA,1,18.85,NA,7,591,"swd","197-18",2018-07-16
"111",2018,197,"PSY9",-0.675403205058215,0.0353818476092769,7,18.99,0.0824621125123521,9,600,"mwd","197-18",2018-07-16
"112",2018,198,"PSY2",-0.877733097625707,0.0408987795048263,7,19.0885714285714,0.0384831441146953,2,592,"mwd","198-18",2018-07-17
"113",2018,198,"PSY3",-0.625145660940212,0.0570435383103424,7,19.0885714285714,0.0384831441146953,3,589,"control","198-18",2018-07-17
"114",2018,198,"PSY4",-0.300445206443845,0.0210455032881379,7,19.0885714285714,0.0384831441146953,4,498,"control","198-18",2018-07-17
"115",2018,198,"PSY5",-1.02778474628672,0.038141440880938,7,19.0885714285714,0.0384831441146953,5,10999,"mwd","198-18",2018-07-17
"116",2018,198,"PSY6",-1.07219632954849,0.0469225185861621,7,19.0885714285714,0.0384831441146953,6,588,"swd","198-18",2018-07-17
"117",2018,198,"PSY8",-0.496273553065442,0.0256752591146286,7,19.0885714285714,0.0384831441146953,8,10954,"control","198-18",2018-07-17
"118",2018,198,"PSY9",-1.03916411590742,0.0461689191256326,7,19.0885714285714,0.0384831441146953,9,600,"mwd","198-18",2018-07-17
"119",2018,199,"PSY2",-0.944152092423615,0.0415444481988029,7,19.2842857142857,0.0778582350294745,2,592,"mwd","199-18",2018-07-18
"120",2018,199,"PSY3",-0.374266368735254,0.0114272109006412,7,19.2842857142857,0.0778582350294745,3,589,"control","199-18",2018-07-18
"121",2018,199,"PSY4",-0.383118103848921,0.0269505965353912,7,19.2842857142857,0.0778582350294745,4,498,"control","199-18",2018-07-18
"122",2018,199,"PSY5",-0.934029480317237,0.0191708128693854,7,19.2842857142857,0.0778582350294745,5,10999,"mwd","199-18",2018-07-18
"123",2018,199,"PSY6",-1.15227696373238,0.0375948869102993,7,19.2842857142857,0.0778582350294745,6,588,"swd","199-18",2018-07-18
"124",2018,199,"PSY7",-4.0613404983752,1.1045683478557,7,19.2842857142857,0.0778582350294745,7,591,"swd","199-18",2018-07-18
"125",2018,199,"PSY8",-0.413751545447928,0.0340580452824377,7,19.2842857142857,0.0778582350294745,8,10954,"control","199-18",2018-07-18
"126",2018,199,"PSY9",-1.05954548046587,0.0404844097724975,7,19.2842857142857,0.0778582350294745,9,600,"mwd","199-18",2018-07-18
"127",2018,200,"PSY1",-1.57227914080433,0.136387058859945,7,19.5428571428571,0.0160356745147456,1,590,"swd","200-18",2018-07-19
"128",2018,200,"PSY2",-0.586214839095285,0.0986320224159919,7,19.5428571428571,0.0160356745147456,2,592,"mwd","200-18",2018-07-19
"129",2018,200,"PSY3",-0.377815123850646,0.0209140796255649,7,19.5428571428571,0.0160356745147456,3,589,"control","200-18",2018-07-19
"130",2018,200,"PSY4",-0.338121794867351,0.0365606007653021,7,19.5428571428571,0.0160356745147456,4,498,"control","200-18",2018-07-19
"131",2018,200,"PSY5",-1.01306653668061,0.00716431922295805,7,19.5428571428571,0.0160356745147456,5,10999,"mwd","200-18",2018-07-19
"132",2018,200,"PSY6",-1.1739866563346,0.0440484145719726,7,19.5428571428571,0.0160356745147456,6,588,"swd","200-18",2018-07-19
"133",2018,200,"PSY8",-0.489196896382183,0.016296238217639,7,19.5428571428571,0.0160356745147456,8,10954,"control","200-18",2018-07-19
"134",2018,200,"PSY9",-0.992350160365031,0.0384871424073793,7,19.5428571428571,0.0160356745147456,9,600,"mwd","200-18",2018-07-19
"135",2018,201,"PSY1",-1.0267306988851,0.0139990766013763,7,19.1242857142857,0.0886673827396801,1,590,"swd","201-18",2018-07-20
"136",2018,201,"PSY2",-0.938914005197576,0.0434862055315278,7,19.1242857142857,0.0886673827396801,2,592,"mwd","201-18",2018-07-20
"137",2018,201,"PSY4",-1.12571170041159,0.0459850970428773,7,19.1242857142857,0.0886673827396801,4,498,"control","201-18",2018-07-20
"138",2018,201,"PSY7",-0.888804045030405,0.0532006513260971,7,19.1242857142857,0.0886673827396801,7,591,"swd","201-18",2018-07-20
"139",2018,201,"PSY8",-0.598734360179593,0.0211908076701332,7,19.1242857142857,0.0886673827396801,8,10954,"control","201-18",2018-07-20
"140",2018,201,"PSY9",-0.544106671624605,0.0225597893519866,7,19.1242857142857,0.0886673827396801,9,600,"mwd","201-18",2018-07-20
"141",2018,202,"PSY1",-0.107509524303146,0.0310869061659429,7,20.1428571428571,0.0249761791275109,1,590,"swd","202-18",2018-07-21
"142",2018,202,"PSY2",-0.558054431709555,0.0458777547602159,7,20.1428571428571,0.0249761791275109,2,592,"mwd","202-18",2018-07-21
"143",2018,202,"PSY3",-0.468935893559824,0.0290882760395873,7,20.1428571428571,0.0249761791275109,3,589,"control","202-18",2018-07-21
