Date,genuis,species,ID,Amax,E,gs,lwp
13-Jul-18,aesculus,californica,AECA5_10999,4.1,1.43,53,NA
13-Jul-18,aesculus,californica,AECA10_159,13.37,6.6,324,NA
14-Jul-18,aesculus,californica,AECA6_588,3.7,1.6,52,NA
14-Jul-18,aesculus,californica,AECA3_589,10,5.2,219,NA
14-Jul-18,aesculus,californica,AECA2_592,16.2,5.5,242,NA
14-Jul-18,aesculus,californica,AECA9_600,7.3,2.8,99,NA
14-Jul-18,aesculus,californica,AECA1_590,3.9,1.2,39,NA
14-Jul-18,aesculus,californica,AECA7_591,4.4,1.6,53,NA
14-Jul-18,aesculus,californica,AECA4_498,10,5.1,225,NA
14-Jul-18,aesculus,californica,AECA8_10954,16.1,7.9,433,NA
14-Jul-18,aesculus,californica,AECA5_10999,5.2,1.9,63,NA
14-Jul-18,aesculus,californica,AECA10_159,15.1,8,429,NA
15-Jul-18,aesculus,californica,AECA6_588,4.1,1.8,55,NA
15-Jul-18,aesculus,californica,AECA3_589,11.2,5.3,230,NA
15-Jul-18,aesculus,californica,AECA2_592,15.8,5.6,240,NA
15-Jul-18,aesculus,californica,AECA9_600,6.9,2.7,98,NA
15-Jul-18,aesculus,californica,AECA1_590,3.9,1.3,41,NA
15-Jul-18,aesculus,californica,AECA7_591,4.1,1.5,54,NA
15-Jul-18,aesculus,californica,AECA4_498,10,5.3,226,NA
15-Jul-18,aesculus,californica,AECA8_10954,15.7,7.8,435,NA
15-Jul-18,aesculus,californica,AECA5_10999,5.3,1.8,65,NA
15-Jul-18,aesculus,californica,AECA10_159,15.3,8.3,430,NA
16-Jul-18,aesculus,californica,AECA6_588,6,2.1,68,NA
16-Jul-18,aesculus,californica,AECA3_589,12.3,5.9,300,NA
16-Jul-18,aesculus,californica,AECA2_592,16.3,6.5,290,NA
16-Jul-18,aesculus,californica,AECA9_600,19.8,8.9,469,NA
16-Jul-18,aesculus,californica,AECA1_590,1.22,0.074,22,NA
16-Jul-18,aesculus,californica,AECA7_591,3.1,1.7,50,NA
16-Jul-18,aesculus,californica,AECA4_498,9.5,5.1,220,NA
16-Jul-18,aesculus,californica,AECA8_10954,16.8,8.9,455,NA
16-Jul-18,aesculus,californica,AECA5_10999,2.7,1.2,40,NA
16-Jul-18,aesculus,californica,AECA10_159,15.5,8,384,NA
18-Jul-18,aesculus,californica,AECA6_588,4.8,1.6,46,NA
18-Jul-18,aesculus,californica,AECA3_589,14.3,6.9,351,NA
18-Jul-18,aesculus,californica,AECA2_592,11.7,3.8,144,NA
18-Jul-18,aesculus,californica,AECA9_600,16,8.9,517,NA
18-Jul-18,aesculus,californica,AECA1_590,2.6,1.4,44,NA
18-Jul-18,aesculus,californica,AECA7_591,4,2.7,73,NA
18-Jul-18,aesculus,californica,AECA4_498,13.01,6,232,NA
18-Jul-18,aesculus,californica,AECA8_10954,10,6.8,300,NA
18-Jul-18,aesculus,californica,AECA5_10999,3.9,1.4,40,NA
18-Jul-18,aesculus,californica,AECA10_159,15.1,7.7,377,NA
19-Jul-18,aesculus,californica,AECA6_588,3.9,1.3,58,NA
19-Jul-18,aesculus,californica,AECA3_589,13.01,7,381,NA
19-Jul-18,aesculus,californica,AECA2_592,5,1.5,50,NA
19-Jul-18,aesculus,californica,AECA9_600,15,8.8,461,NA
19-Jul-18,aesculus,californica,AECA1_590,1.6,0.094,30,NA
